Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process,Label
Injured / Non-injured,P97351,P97351,0.527366726,0.527366726,2.56E-09,8.07E-09,16,P97351,Rps3a,40S ribosomal protein S3a,RS3A_MOUSE,16,44.12960722,1.441296072,Injured,Non-injured,"nucleus,nucleolus,endoplasmic reticulum,cytosol,focal adhesion,cytosolic small ribosomal subunit,intracellular ribonucleoprotein complex,extracellular matrix,extracellular exosome","structural constituent of ribosome,protein binding,mRNA 5'-UTR binding","cytoplasmic translation,translation,cell differentiation,negative regulation of apoptotic process",
Injured / Non-injured,Q9D051,Q9D051,-1.306832403,1.306832403,2.73E-09,8.53E-09,16,Q9D051,Pdhb,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",ODPB_MOUSE,20,-59.57926119,0.404207388,Injured,Non-injured,"nucleus,nucleoplasm,mitochondrion,mitochondrial matrix,pyruvate dehydrogenase complex,extracellular exosome","pyruvate dehydrogenase activity,pyruvate dehydrogenase (acetyl-transferring) activity,pyruvate dehydrogenase (NAD+) activity","glucose metabolic process,acetyl-CoA biosynthetic process from pyruvate,tricarboxylic acid cycle,mitochondrial acetyl-CoA biosynthetic process from pyruvate",
Injured / Non-injured,O08600,O08600,-1.637601358,1.637601358,2.76E-09,8.58E-09,16,O08600,Endog,"Endonuclease G, mitochondrial",NUCG_MOUSE,5,-67.8609622,0.321390378,Injured,Non-injured,"nucleus,mitochondrion,cytosol,perikaryon","nucleic acid binding,endonuclease activity,deoxyribonuclease activity,metal ion binding","in utero embryonic development,DNA catabolic process,apoptotic DNA fragmentation,aging,response to mechanical stimulus,response to estradiol,response to tumor necrosis factor,neuron death in response to oxidative stress,positive regulation of apoptotic process,response to antibiotic,cellular response to calcium ion,cellular response to glucose stimulus,cellular response to hypoxia,positive regulation of hydrogen peroxide-mediated programmed cell death,positive regulation of apoptotic DNA fragmentation",
Injured / Non-injured,Q3U186,Q3U186,-1.326116083,1.326116083,2.86E-09,8.85E-09,16,Q3U186,Rars2,"Probable arginine--tRNA ligase, mitochondrial",SYRM_MOUSE,10,-60.11594732,0.398840527,Injured,Non-injured,"mitochondrion,mitochondrial matrix","RNA binding,arginine-tRNA ligase activity,ATP binding","arginyl-tRNA aminoacylation,mitochondrial translation",
Injured / Non-injured,Q8BWF0,Q8BWF0,-1.577223518,1.577223518,2.90E-09,8.88E-09,16,Q8BWF0,Aldh5a1,"Succinate-semialdehyde dehydrogenase, mitochondrial",SSDH_MOUSE,21,-66.48737775,0.335126222,Injured,Non-injured,mitochondrion,"succinate-semialdehyde dehydrogenase (NAD+) activity,succinate-semialdehyde dehydrogenase [NAD(P)+] activity,NAD binding","glucose metabolic process,acetate metabolic process,succinate metabolic process,glutamate metabolic process,glutamate decarboxylation to succinate,glutamine metabolic process,glycerophospholipid metabolic process,glucosylceramide metabolic process,galactosylceramide metabolic process,glutathione metabolic process,central nervous system development,gamma-aminobutyric acid metabolic process,gamma-aminobutyric acid catabolic process,post-embryonic development,respiratory electron transport chain,neurotransmitter catabolic process,short-chain fatty acid metabolic process,protein homotetramerization,oxidation-reduction process",
Injured / Non-injured,Q8K370,Q8K370,-1.670601796,1.670601796,2.89E-09,8.88E-09,16,Q8K370,Acad10,Acyl-CoA dehydrogenase family member 10,ACD10_MOUSE,28,-68.58777146,0.314122285,Injured,Non-injured,mitochondrion,"acyl-CoA dehydrogenase activity,hydrolase activity,flavin adenine dinucleotide binding",fatty acid beta-oxidation using acyl-CoA dehydrogenase,
Injured / Non-injured,Q9R022,Q9R022,-2.818435832,2.818435832,2.95E-09,8.98E-09,14,Q9R022,Dnajc12,DnaJ homolog subfamily C member 12,DJC12_MOUSE,4,-85.82358971,0.141764103,Injured,Non-injured,cytoplasm,,biological_process,
Injured / Non-injured,Q8CIN4,Q8CIN4,1.079436087,1.079436087,3.03E-09,9.17E-09,16,Q8CIN4,Pak2,Serine/threonine-protein kinase PAK 2,PAK2_MOUSE,11,111.3209919,2.113209919,Injured,Non-injured,"nucleus,cytoplasm,cytosol,membrane,perinuclear region of cytoplasm","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,protein kinase binding,protein tyrosine kinase activator activity,small GTPase binding,identical protein binding,cadherin binding,Rac GTPase binding","protein phosphorylation,apoptotic process,Rho protein signal transduction,regulation of mitotic cell cycle,phosphorylation,cell migration,peptidyl-serine phosphorylation,signal transduction by protein phosphorylation,actin cytoskeleton organization,stress-activated protein kinase signaling cascade,activation of protein kinase activity,regulation of growth,negative regulation of apoptotic process,regulation of MAPK cascade,protein autophosphorylation,positive regulation of peptidyl-tyrosine phosphorylation,dendritic spine development,positive regulation of protein tyrosine kinase activity,cellular response to organic cyclic compound,positive regulation of extrinsic apoptotic signaling pathway,negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis",
Injured / Non-injured,P61358,P61358,0.622550299,0.622550299,3.25E-09,9.75E-09,16,P61358,Rpl27,60S ribosomal protein L27,RL27_MOUSE,8,53.95943683,1.539594368,Injured,Non-injured,"nucleus,focal adhesion,membrane,cytosolic large ribosomal subunit,intracellular ribonucleoprotein complex,extracellular matrix,extracellular exosome","RNA binding,structural constituent of ribosome","rRNA processing,translation,response to aldosterone",
Injured / Non-injured,Q9CQQ7,Q9CQQ7,-1.286719144,1.286719144,3.26E-09,9.75E-09,16,Q9CQQ7,Atp5f1,"ATP synthase F(0) complex subunit B1, mitochondrial",AT5F1_MOUSE,14,-59.01179103,0.40988209,Injured,Non-injured,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o),nucleus,nucleoplasm,mitochondrion,mitochondrial inner membrane,mitochondrial proton-transporting ATP synthase complex,membrane,myelin sheath,extracellular exosome","ATPase activity,proton-transporting ATP synthase activity, rotational mechanism","ATP synthesis coupled proton transport,substantia nigra development,Requires Ontology",
Injured / Non-injured,Q9Z0S1,Q9Z0S1,-1.439669722,1.439669722,3.28E-09,9.75E-09,16,Q9Z0S1,Bpnt1,"3'(2'),5'-bisphosphate nucleotidase 1",BPNT1_MOUSE,18,-63.13483094,0.368651691,Injured,Non-injured,extracellular exosome,"3'(2'),5'-bisphosphate nucleotidase activity,metal ion binding","dephosphorylation,phosphatidylinositol phosphorylation",
Injured / Non-injured,Q91WN4;Q91WN4-2,Q91WN4;Q91WN4-2,-1.972304522,1.972304522,3.33E-09,9.85E-09,16,Q91WN4;Q91WN4-2,Kmo,Kynurenine 3-monooxygenase;Isoform 2 of Kynurenine 3-monooxygenase,KMO_MOUSE,16,-74.51543774,0.254845623,Injured,Non-injured,"mitochondrion,mitochondrial outer membrane,mitochondrial inner membrane,integral component of membrane,extracellular exosome;","kynurenine 3-monooxygenase activity,NAD(P)H oxidase activity,flavin adenine dinucleotide binding,FAD binding;","NAD biosynthetic process,response to salt stress,tryptophan catabolic process to kynurenine,NAD metabolic process,quinolinate biosynthetic process,secondary metabolite biosynthetic process,oxidation-reduction process,kynurenine metabolic process;",
Injured / Non-injured,P32067,P32067,1.313464316,1.313464316,3.41E-09,1.00E-08,16,P32067,Ssb,Lupus La protein homolog,LA_MOUSE,19,148.5376327,2.485376327,Injured,Non-injured,"nuclear chromosome, telomeric region,nucleus,cytoplasm,intracellular ribonucleoprotein complex","tRNA binding,RNA binding,poly(U) RNA binding,sequence-specific mRNA binding","tRNA 5'-leader removal,tRNA export from nucleus,tRNA processing,tRNA 3'-end processing,nuclear histone mRNA catabolic process,IRES-dependent viral translational initiation,protein localization to cytoplasmic stress granule",
Injured / Non-injured,Q99JR1,Q99JR1,-1.40782766,1.40782766,3.45E-09,1.01E-08,16,Q99JR1,Sfxn1,Sideroflexin-1,SFXN1_MOUSE,12,-62.31212546,0.376878745,Injured,Non-injured,"mitochondrion,mitochondrial inner membrane,integral component of membrane","molecular_function,ion transmembrane transporter activity","iron ion transport,erythrocyte differentiation,ion transmembrane transport,iron ion homeostasis",
Injured / Non-injured,O35857,O35857,-0.957471556,0.957471556,3.54E-09,1.03E-08,16,O35857,Timm44,Mitochondrial import inner membrane translocase subunit TIM44,TIM44_MOUSE,15,-48.50413691,0.514958631,Injured,Non-injured,"mitochondrion,mitochondrial inner membrane,mitochondrial matrix","ATP binding,chaperone binding",protein import into mitochondrial matrix,
Injured / Non-injured,Q3UNZ8,Q3UNZ8,-1.914190116,1.914190116,3.56E-09,1.03E-08,16,Q3UNZ8,NaN,Quinone oxidoreductase-like protein 2,QORL2_MOUSE,19,-73.46791635,0.265320836,Injured,Non-injured,mitochondrion,oxidoreductase activity,oxidation-reduction process,
Injured / Non-injured,P50516,P50516,-0.827622316,0.827622316,3.69E-09,1.06E-08,16,P50516,Atp6v1a,V-type proton ATPase catalytic subunit A,VATA_MOUSE,42,-43.65428971,0.563457103,Injured,Non-injured,"mitochondrion,lysosomal membrane,cytosol,plasma membrane,microvillus,apical plasma membrane,proton-transporting V-type ATPase, V1 domain,myelin sheath,extracellular exosome","ATP binding,proton-transporting ATPase activity, rotational mechanism","cellular iron ion homeostasis,ATP hydrolysis coupled proton transport,cellular response to increased oxygen levels,ATP metabolic process",
Injured / Non-injured,Q3UEG6,Q3UEG6,-1.681597432,1.681597432,3.75E-09,1.06E-08,16,Q3UEG6,Agxt2,"Alanine--glyoxylate aminotransferase 2, mitochondrial",AGT2_MOUSE,21,-68.82627267,0.311737273,Injured,Non-injured,mitochondrion,"alanine-glyoxylate transaminase activity,pyridoxal phosphate binding,identical protein binding,(R)-3-amino-2-methylpropionate-pyruvate transaminase activity","glyoxylate catabolic process,glycine biosynthetic process, by transamination of glyoxylate,L-alanine catabolic process, by transamination,positive regulation of nitric oxide biosynthetic process",
Injured / Non-injured,Q8C7H1,Q8C7H1,-2.222723376,2.222723376,3.75E-09,1.06E-08,16,Q8C7H1,Mmaa,"Methylmalonic aciduria type A homolog, mitochondrial",MMAA_MOUSE,6,-78.57634372,0.214236563,Injured,Non-injured,"cellular_component,mitochondrion","molecular_function,GTPase activity,GTP binding","biological_process,cobalamin biosynthetic process",
Injured / Non-injured,Q9DBE0,Q9DBE0,-2.381645908,2.381645908,3.74E-09,1.06E-08,16,Q9DBE0,Csad,Cysteine sulfinic acid decarboxylase,CSAD_MOUSE,21,-80.81096466,0.191890353,Injured,Non-injured,cellular_component,"sulfinoalanine decarboxylase activity,carboxy-lyase activity,pyridoxal phosphate binding","L-cysteine catabolic process to taurine,taurine metabolic process,taurine biosynthetic process",
Injured / Non-injured,B1ATI0;B1AV77;P47740,B1ATI0;B1AV77;P47740,-1.037336133,1.037336133,3.81E-09,1.07E-08,16,B1ATI0;B1AV77;P47740,Aldh3a2,Aldehyde dehydrogenase;Aldehyde dehydrogenase;Fatty aldehyde dehydrogenase,B1ATI0_MOUSE;B1AV77_MOUSE;AL3A2_MOUSE,18,-51.27737165,0.487226284,Injured,Non-injured,";;mitochondrion,mitochondrial inner membrane,peroxisome,endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane,intracellular membrane-bounded organelle,extracellular exosome",";;aldehyde dehydrogenase (NAD) activity,aldehyde dehydrogenase [NAD(P)+] activity,long-chain-alcohol oxidase activity,long-chain-aldehyde dehydrogenase activity,medium-chain-aldehyde dehydrogenase activity",";;cellular aldehyde metabolic process,sesquiterpenoid metabolic process,central nervous system development,peripheral nervous system development,epidermis development,phytol metabolic process,oxidation-reduction process",
Injured / Non-injured,Q7TNG8,Q7TNG8,-1.782136567,1.782136567,3.80E-09,1.07E-08,16,Q7TNG8,Ldhd,"Probable D-lactate dehydrogenase, mitochondrial",LDHD_MOUSE,26,-70.92475139,0.290752486,Injured,Non-injured,"mitochondrion,mitochondrial inner membrane","D-lactate dehydrogenase (cytochrome) activity,protein binding,D-lactate dehydrogenase activity,flavin adenine dinucleotide binding","ATP biosynthetic process,oxidation-reduction process",
Injured / Non-injured,Q20BD0;Q99020,Q20BD0;Q99020,1.248258978,1.248258978,3.85E-09,1.07E-08,16,Q20BD0;Q99020,Hnrnpab,Heterogeneous nuclear ribonucleoprotein A/B,Q20BD0_MOUSE;ROAA_MOUSE,12,137.5545728,2.375545728,Injured,Non-injured,";nucleus,nucleoplasm,cytoplasm,intracellular ribonucleoprotein complex,RNA polymerase II transcription factor complex",";RNA binding,protein binding,transcription factor activity, sequence-specific DNA binding,sequence-specific DNA binding",";negative regulation of transcription from RNA polymerase II promoter,epithelial to mesenchymal transition,transcription, DNA-templated,positive regulation of transcription, DNA-templated",
Injured / Non-injured,Q99NB1,Q99NB1,-2.346038615,2.346038615,4.04E-09,1.12E-08,16,Q99NB1,Acss1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",ACS2L_MOUSE,30,-80.33146531,0.196685347,Injured,Non-injured,"mitochondrion,mitochondrial matrix","acetate-CoA ligase activity,ATP binding,AMP binding","acetyl-CoA biosynthetic process,acetate biosynthetic process,acetyl-CoA biosynthetic process from acetate,propionate biosynthetic process",
Injured / Non-injured,Q01730;Q9D031,Q01730;Q9D031,0.974591887,0.974591887,4.07E-09,1.12E-08,16,Q01730;Q9D031,Rsu1,Ras suppressor protein 1,RSU1_MOUSE;Q9D031_MOUSE,12,96.50852301,1.96508523,Injured,Non-injured,"intracellular,focal adhesion,extracellular exosome;",molecular_function;,"Ras protein signal transduction,positive regulation of cell-substrate adhesion,positive regulation of GTPase activity,positive regulation of neural precursor cell proliferation;",
Injured / Non-injured,P47963,P47963,0.401982418,0.401982418,4.19E-09,1.14E-08,16,P47963,Rpl13,60S ribosomal protein L13,RL13_MOUSE,9,32.1322303,1.321322303,Injured,Non-injured,"nucleus,membrane,cytosolic large ribosomal subunit","RNA binding,structural constituent of ribosome",translation,
Injured / Non-injured,Q78JN3,Q78JN3,-2.171129385,2.171129385,4.18E-09,1.14E-08,16,Q78JN3,Eci3,"Enoyl-CoA delta isomerase 3, peroxisomal",ECI3_MOUSE,9,-77.79632149,0.222036785,Injured,Non-injured,peroxisome,"fatty-acyl-CoA binding,dodecenoyl-CoA delta-isomerase activity",fatty acid beta-oxidation,
Injured / Non-injured,Q9DCM2,Q9DCM2,-1.437688978,1.437688978,4.44E-09,1.21E-08,16,Q9DCM2,Gstk1,Glutathione S-transferase kappa 1,GSTK1_MOUSE,15,-63.08418226,0.369158177,Injured,Non-injured,"intracellular,mitochondrion,mitochondrial inner membrane,mitochondrial matrix,peroxisome,membrane,extracellular exosome","glutathione transferase activity,glutathione peroxidase activity,receptor binding,protein binding,protein disulfide oxidoreductase activity","glutathione metabolic process,epithelial cell differentiation,oxidation-reduction process,cellular oxidant detoxification",
Injured / Non-injured,Q9R059,Q9R059,1.477632645,1.477632645,4.49E-09,1.21E-08,16,Q9R059,Fhl3,Four and a half LIM domains protein 3,FHL3_MOUSE,7,178.4913746,2.784913746,Injured,Non-injured,"stress fiber,nucleus,focal adhesion,Z disc","actin binding,protein binding,metal ion binding",actin cytoskeleton organization,
Injured / Non-injured,P61922,P61922,-1.765777147,1.765777147,4.55E-09,1.22E-08,16,P61922,Abat,"4-aminobutyrate aminotransferase, mitochondrial",GABT_MOUSE,31,-70.59317663,0.294068234,Injured,Non-injured,"mitochondrion,mitochondrial matrix,4-aminobutyrate transaminase complex,neuron projection,extracellular exosome","pyridoxal phosphate binding,succinate-semialdehyde dehydrogenase binding,4-aminobutyrate:2-oxoglutarate transaminase activity,protein homodimerization activity,metal ion binding,(S)-3-amino-2-methylpropionate transaminase activity,iron-sulfur cluster binding,4-aminobutyrate transaminase activity","response to hypoxia,aging,copulation,locomotory behavior,gamma-aminobutyric acid biosynthetic process,response to iron ion,negative regulation of gamma-aminobutyric acid secretion,cerebellum development,positive regulation of heat generation,positive regulation of insulin secretion,negative regulation of dopamine secretion,response to nicotine,exploration behavior,neurotransmitter catabolic process,response to drug,response to ethanol,negative regulation of blood pressure,positive regulation of dopamine metabolic process,behavioral response to cocaine,positive regulation of uterine smooth muscle contraction,negative regulation of platelet aggregation,positive regulation of inhibitory postsynaptic potential,positive regulation of prolactin secretion,positive regulation of aspartate secretion",
Injured / Non-injured,Q9Z1J3;Q9Z1J3-2,Q9Z1J3;Q9Z1J3-2,-1.443755509,1.443755509,4.61E-09,1.23E-08,16,Q9Z1J3;Q9Z1J3-2,Nfs1,"Cysteine desulfurase, mitochondrial;Isoform Cytoplasmic of Cysteine desulfurase, mitochondrial",NFS1_MOUSE,14,-63.23908731,0.367609127,Injured,Non-injured,"nucleus,nucleoplasm,mitochondrion,mitochondrial matrix,cytosol;","pyridoxal phosphate binding,cysteine desulfurase activity,protein homodimerization activity,metal ion binding,iron-sulfur cluster binding;","Mo-molybdopterin cofactor biosynthetic process,iron incorporation into metallo-sulfur cluster,[2Fe-2S] cluster assembly;",
Injured / Non-injured,P24270,P24270,-1.682151874,1.682151874,4.81E-09,1.28E-08,16,P24270,Cat,Catalase,CATA_MOUSE,43,-68.83825074,0.311617493,Injured,Non-injured,"mitochondrion,mitochondrial intermembrane space,lysosome,peroxisome,peroxisomal membrane,endoplasmic reticulum,Golgi apparatus,cytosol,plasma membrane,focal adhesion,membrane,intracellular membrane-bounded organelle,extracellular exosome","aminoacylase activity,catalase activity,receptor binding,antioxidant activity,oxidoreductase activity, acting on peroxide as acceptor,enzyme binding,heme binding,protein homodimerization activity,metal ion binding,NADP binding","response to reactive oxygen species,osteoblast differentiation,ureteric bud development,response to hypoxia,triglyceride metabolic process,response to oxidative stress,aging,cholesterol metabolic process,aerobic respiration,response to light intensity,UV protection,response to ozone,response to lead ion,positive regulation of phosphatidylinositol 3-kinase signaling,response to activity,response to inactivity,hemoglobin metabolic process,negative regulation of NF-kappaB transcription factor activity,response to estradiol,response to insulin,response to vitamin A,response to vitamin E,response to L-ascorbic acid,response to drug,response to hydrogen peroxide,hydrogen peroxide catabolic process,negative regulation of apoptotic process,response to ethanol,response to cadmium ion,positive regulation of NF-kappaB transcription factor activity,protein tetramerization,protein homotetramerization,positive regulation of cell division,response to hyperoxia,response to fatty acid,cellular response to growth factor stimulus,response to phenylpropanoid,cellular oxidant detoxification",
Injured / Non-injured,O08966,O08966,-2.568205661,2.568205661,4.91E-09,1.29E-08,16,O08966,Slc22a1,Solute carrier family 22 member 1,S22A1_MOUSE,4,-83.13862214,0.168613779,Injured,Non-injured,"integral component of plasma membrane,basolateral plasma membrane","acetylcholine transmembrane transporter activity,dopamine transmembrane transporter activity,norepinephrine transmembrane transporter activity,secondary active organic cation transmembrane transporter activity,organic anion transmembrane transporter activity,organic cation transmembrane transporter activity,quaternary ammonium group transmembrane transporter activity,protein homodimerization activity","cation transport,neurotransmitter transport,drug transmembrane transport,establishment or maintenance of transmembrane electrochemical gradient,quaternary ammonium group transport,organic anion transport,dopamine transport,norepinephrine transport,epinephrine transport,protein homooligomerization,ammonium transmembrane transport,acetate ester transport",
Injured / Non-injured,O88338,O88338,-2.168075473,2.168075473,4.90E-09,1.29E-08,16,O88338,Cdh16,Cadherin-16,CAD16_MOUSE,23,-77.74927072,0.222507293,Injured,Non-injured,"plasma membrane,integral component of plasma membrane,basolateral plasma membrane,extracellular exosome",calcium ion binding,"homophilic cell adhesion via plasma membrane adhesion molecules,cell-cell signaling,nervous system development,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules",
Injured / Non-injured,Q8R164,Q8R164,-1.750594176,1.750594176,5.09E-09,1.33E-08,16,Q8R164,Bphl,Valacyclovir hydrolase,BPHL_MOUSE,20,-70.28206401,0.29717936,Injured,Non-injured,"mitochondrion,extracellular exosome",hydrolase activity,,
Injured / Non-injured,Q9ERS2,Q9ERS2,-1.619508012,1.619508012,5.31E-09,1.38E-08,16,Q9ERS2,Ndufa13,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,NDUAD_MOUSE,10,-67.45535713,0.325446429,Injured,Non-injured,"nucleus,nucleoplasm,cytoplasm,mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain,mitochondrial respiratory chain complex I,integral component of membrane,mitochondrial membrane,extracellular exosome","NADH dehydrogenase activity,ATP binding,NADH dehydrogenase (ubiquinone) activity","negative regulation of cell growth,mitochondrial respiratory chain complex I assembly,cellular response to interferon-beta,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,protein import into mitochondrial inner membrane,positive regulation of protein catabolic process,negative regulation of transcription, DNA-templated,oxidation-reduction process,cellular response to retinoic acid,reactive oxygen species metabolic process,apoptotic signaling pathway,extrinsic apoptotic signaling pathway,negative regulation of intrinsic apoptotic signaling pathway",
Injured / Non-injured,Q9QXN5,Q9QXN5,-2.591570767,2.591570767,5.35E-09,1.39E-08,16,Q9QXN5,Miox,Inositol oxygenase,MIOX_MOUSE,12,-83.40950044,0.165904996,Injured,Non-injured,"cytoplasm,inclusion body,extracellular exosome","aldo-keto reductase (NADP) activity,ferric iron binding,oxidoreductase activity,oxidoreductase activity, acting on NAD(P)H,oxidoreductase activity, acting on single donors with incorporation of molecular oxygen,inositol oxygenase activity","inositol catabolic process,oxidation-reduction process",
Injured / Non-injured,A0A0G2JGS4;E9Q1T1;E9Q1W0;Q6PHZ2;Q6PHZ2-2;Q6PHZ2-4;Q6PHZ2-5,A0A0G2JGS4;E9Q1T1;E9Q1W0;Q6PHZ2;Q6PHZ2-2;Q6PHZ2-4;Q6PHZ2-5,1.603620818,1.603620818,5.38E-09,1.39E-08,16,A0A0G2JGS4;E9Q1T1;E9Q1W0;Q6PHZ2;Q6PHZ2-2;Q6PHZ2-4;Q6PHZ2-5,Camk2d,Calcium/calmodulin-dependent protein kinase type II subunit delta;Calcium/calmodulin-dependent protein kinase type II subunit delta;Calcium/calmodulin-dependent protein kinase type II subunit delta;Calcium/calmodulin-dependent protein kinase type II subunit delta;Isoform 2 of Calcium/calmodulin-dependent protein kinase type II subunit delta;Isoform 3 of Calcium/calmodulin-dependent protein kinase type II subunit delta;Isoform 4 of Calcium/calmodulin-dependent protein kinase type II subunit delta,A0A0G2JGS4_MOUSE;E9Q1T1_MOUSE;E9Q1W0_MOUSE;KCC2D_MOUSE;KCC2D_MOUSE;KCC2D_MOUSE;KCC2D_MOUSE,7,203.9050856,3.039050856,Injured,Non-injured,";;;nucleus,cytoplasm,intercalated disc,membrane,sarcoplasmic reticulum,T-tubule,neuromuscular junction,sarcoplasmic reticulum membrane,neuronal cell body,axon initial segment,calcium channel complex;;;",";;;protein serine/threonine kinase activity,calmodulin-dependent protein kinase activity,protein binding,calmodulin binding,ATP binding,sodium channel inhibitor activity,titin binding,protein homodimerization activity,ion channel binding;;;",";;;G1/S transition of mitotic cell cycle,regulation of sodium ion transport,regulation of membrane depolarization,protein phosphorylation,calcium ion transport,nervous system development,positive regulation of cardiac muscle hypertrophy,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,cell differentiation,intracellular signal transduction,protein autophosphorylation,protein oligomerization,relaxation of cardiac muscle,cardiac muscle contraction,regulation of cellular localization,cardiac muscle cell contraction,regulation of relaxation of cardiac muscle,negative regulation of sodium ion transmembrane transport,negative regulation of sodium ion transmembrane transporter activity;;;",
Injured / Non-injured,P62320,P62320,1.053196508,1.053196508,5.46E-09,1.40E-08,16,P62320,Snrpd3,Small nuclear ribonucleoprotein Sm D3,SMD3_MOUSE,4,107.5122504,2.075122504,Injured,Non-injured,"commitment complex,nucleus,nucleoplasm,U5 snRNP,U7 snRNP,U1 snRNP,U2 snRNP,U4 snRNP,U12-type spliceosomal complex,cytoplasm,cytosol,nuclear body,methylosome,pICln-Sm protein complex,SMN-Sm protein complex,extracellular exosome,prespliceosome,precatalytic spliceosome,catalytic step 2 spliceosome,spliceosomal tri-snRNP complex,telomerase holoenzyme complex","RNA binding,enzyme binding,U2 snRNA binding,telomerase RNA binding,histone pre-mRNA DCP binding,U7 snRNA binding,U1 snRNP binding","spliceosomal complex assembly,spliceosomal snRNP assembly,protein methylation",
Injured / Non-injured,Q60991,Q60991,-2.083313436,2.083313436,5.54E-09,1.41E-08,16,Q60991,Cyp7b1,25-hydroxycholesterol 7-alpha-hydroxylase,CP7B1_MOUSE,10,-76.40281673,0.235971833,Injured,Non-injured,"endoplasmic reticulum membrane,organelle membrane,intracellular membrane-bounded organelle","iron ion binding,oxysterol 7-alpha-hydroxylase activity,heme binding","bile acid biosynthetic process,digestion,cholesterol metabolic process,negative regulation of intracellular estrogen receptor signaling pathway,B cell chemotaxis,positive regulation of epithelial cell proliferation,oxidation-reduction process,prostate gland epithelium morphogenesis",
Injured / Non-injured,Q9CRB9,Q9CRB9,-1.361594717,1.361594717,5.53E-09,1.41E-08,16,Q9CRB9,Chchd3,MICOS complex subunit Mic19,MIC19_MOUSE,15,-61.08481062,0.389151894,Injured,Non-injured,"nucleus,cytoplasm,mitochondrion,mitochondrial inner membrane,MICOS complex,extracellular exosome","transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,protein binding,phosphatase binding,protein complex scaffold","negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated,inner mitochondrial membrane organization,mitochondrial fusion,cristae formation",
Injured / Non-injured,P11352,P11352,-0.985797517,0.985797517,5.80E-09,1.47E-08,16,P11352,Gpx1,Glutathione peroxidase 1,GPX1_MOUSE,14,-49.50534867,0.504946513,Injured,Non-injured,"cytoplasm,mitochondrion,cytosol,extracellular exosome,Lewy body","glutathione peroxidase activity,protein binding,SH3 domain binding","response to reactive oxygen species,temperature homeostasis,endothelial cell development,negative regulation of inflammatory response to antigenic stimulus,lipid metabolic process,triglyceride metabolic process,glutathione metabolic process,apoptotic process,response to oxidative stress,sensory perception of sound,cell proliferation,intrinsic apoptotic signaling pathway in response to oxidative stress,response to xenobiotic stimulus,response to symbiotic bacterium,response to wounding,response to toxic substance,UV protection,response to selenium ion,response to gamma radiation,myotube differentiation,protein oxidation,response to hydroperoxide,regulation of mammary gland epithelial cell proliferation,regulation of gene expression, epigenetic,vasodilation,response to hydrogen peroxide,hydrogen peroxide catabolic process,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,skeletal muscle tissue regeneration,regulation of neuron apoptotic process,blood vessel endothelial cell migration,fat cell differentiation,cell redox homeostasis,skeletal muscle fiber development,myoblast proliferation,interaction with symbiont,positive regulation of protein kinase B signaling,heart contraction,angiogenesis involved in wound healing,regulation of proteasomal protein catabolic process,negative regulation of release of cytochrome c from mitochondria,cellular oxidant detoxification,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",
Injured / Non-injured,Q922B1,Q922B1,-1.685265835,1.685265835,5.90E-09,1.49E-08,16,Q922B1,Macrod1,O-acetyl-ADP-ribose deacetylase MACROD1,MACD1_MOUSE,6,-68.90543878,0.310945612,Injured,Non-injured,"nucleus,nucleoplasm,mitochondrion","hydrolase activity, acting on glycosyl bonds,deacetylase activity","cellular response to DNA damage stimulus,purine nucleoside metabolic process,protein de-ADP-ribosylation",
Injured / Non-injured,P05366,P05366,2.155381069,2.155381069,5.97E-09,1.50E-08,16,P05366,Saa1,Serum amyloid A-1 protein,SAA1_MOUSE,4,345.486301,4.45486301,Injured,Non-injured,"extracellular space,cytoplasmic microtubule,high-density lipoprotein particle,extracellular exosome","G-protein coupled receptor binding,protein binding,heparin binding,chemoattractant activity","acute-phase response,cholesterol metabolic process,positive chemotaxis,cell chemotaxis",
